Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,O-C,H-L,%CVol,Bid,Ask,Implied Volatility,Ask Implied Volatility,Bid Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Mid Price
01-Feb-2024,160.1,+8.1,+5.3%,,,,,,,,156.5,163.9,13.5,13.5,12.6,-0.6,-0.4,0.0,21,-6.2,8.3,160.2
31-Jan-2024,152.0,+11.3,+8.0%,,,,,,,,149.1,155.3,13.2,13.5,12.8,-0.6,-0.4,0.0,21,-6.2,8.3,152.2
30-Jan-2024,140.7,-14.1,-9.1%,,,,,,,,139.8,142.4,12.8,,,-0.6,-0.4,0.0,21,-6.5,8.5,141.1
29-Jan-2024,154.8,-2.3,-1.5%,,,,,,,,152.5,156.9,12.8,13.0,12.4,-0.6,-0.4,0.0,21,-6.5,8.5,154.7
26-Jan-2024,157.1,-31.8,-16.8%,,,,,,,,154.7,160.6,12.7,13.1,12.4,-0.6,-0.3,0.0,21,-6.7,8.7,157.7
25-Jan-2024,188.9,-11.3,-5.6%,,,,,,,,185.5,192.9,12.4,,,-0.7,-0.2,0.0,21,-7.9,7.7,189.2
24-Jan-2024,200.2,-75.6,-27.4%,209.8,209.8,209.8,1,9.6,0.0,-97.0%,196.6,204.3,12.4,12.8,11.8,-0.7,-0.2,0.0,21,-7.9,7.7,200.5
23-Jan-2024,275.8,+11.6,+4.4%,274.1,274.1,274.1,33,1.7,0.0,-44.1%,262.6,288.1,12.8,15.0,10.8,-0.8,-0.0,0.0,20,-9.1,6.3,275.4
22-Jan-2024,264.2,-31.9,-10.8%,,,,,,,,260.7,268.2,12.6,13.3,12.1,-0.8,-0.0,0.0,53,-9.1,6.4,264.5
19-Jan-2024,296.1,+4.2,+1.4%,,,,,,,,283.8,310.9,13.6,15.9,11.7,-0.8,-0.1,0.0,53,-9.5,6.4,297.4
18-Jan-2024,291.9,-44.7,-13.3%,,,,,,,,276.7,308.6,13.6,15.8,10.8,-0.8,-0.1,0.0,53,-9.5,6.4,292.7
17-Jan-2024,336.6,+38.5,+12.9%,337.3,337.3,338.0,59,0.7,0.7,+883.3%,331.2,342.9,14.3,15.1,13.3,-0.8,-0.1,0.0,53,-10.0,6.5,337.1
16-Jan-2024,298.1,+11.1,+3.9%,,,,,,,,294.3,301.4,13.7,13.8,12.7,-0.8,-0.1,0.0,7,-9.8,6.5,297.9
15-Jan-2024,287.0,+16.4,+6.1%,,,,,,,,273.3,300.0,12.9,15.1,11.0,-0.8,-0.0,0.0,7,-9.9,6.6,286.7
12-Jan-2024,270.6,-29.8,-9.9%,,,,,,,,269.4,273.8,13.5,13.5,12.9,-0.8,-0.1,0.0,7,-9.7,6.6,271.6
11-Jan-2024,300.4,+23.7,+8.6%,,,,,,,,297.0,306.6,13.5,14.4,13.0,-0.8,-0.0,0.0,7,-10.2,6.7,301.8
10-Jan-2024,276.7,-1.4,-0.5%,,,,,,,,267.3,292.4,13.1,15.2,11.7,-0.8,-0.0,0.0,7,-10.1,6.7,279.9
09-Jan-2024,278.1,+10.0,+3.7%,,,,,,,,273.6,284.1,12.9,14.0,12.4,-0.8,-0.0,0.0,7,-10.2,6.8,278.9
08-Jan-2024,268.1,-17.9,-6.3%,,,,,,,,263.4,273.5,13.5,14.0,12.7,-0.7,-0.2,0.0,7,-10.0,8.5,268.5
05-Jan-2024,286.0,+8.6,+3.1%,,,,,,,,276.8,302.4,13.7,15.7,12.3,-0.8,-0.0,0.0,7,-10.4,6.8,289.6
04-Jan-2024,277.4,-26.0,-8.6%,,,,,,,,272.7,282.7,13.6,14.3,13.1,-0.7,-0.2,0.0,7,-10.4,8.7,277.7
03-Jan-2024,303.4,+51.5,+20.4%,,,,,,,,299.6,305.6,14.5,14.6,13.7,-0.8,-0.1,0.0,7,-10.6,6.8,302.6
02-Jan-2024,251.9,+2.5,+1.0%,,,,,,,,246.8,256.1,13.6,13.9,12.8,-0.7,-0.2,0.0,7,-10.1,8.6,251.5
29-Dec-2023,249.4,+1.9,+0.8%,235.2,233.0,235.2,6,14.2,2.2,+500.0%,244.4,255.6,14.0,14.4,13.1,-0.7,-0.2,0.0,7,-10.1,8.7,250.0
28-Dec-2023,247.5,+11.1,+4.7%,,,,,,,,238.3,256.3,13.2,14.2,12.2,-0.7,-0.2,0.0,1,-10.5,8.9,247.3
27-Dec-2023,236.4,-9.1,-3.7%,,,,,,,,227.5,245.5,13.0,14.1,12.1,-0.7,-0.1,0.0,1,-10.3,8.9,236.5
22-Dec-2023,245.5,+0.5,+0.2%,,,,,,,,232.9,258.8,13.5,15.0,12.1,-0.7,-0.2,0.0,1,-10.7,9.0,245.9
21-Dec-2023,245.0,+11.7,+5.0%,247.5,247.5,247.5,1,2.5,0.0,,241.6,248.9,13.7,14.0,13.2,-0.7,-0.2,0.0,1,-10.7,9.0,245.3
20-Dec-2023,233.3,+1.9,+0.8%,,,,,,,,231.4,234.9,13.0,13.5,13.1,-0.7,-0.1,0.0,0,-10.7,9.1,233.2
19-Dec-2023,231.4,-12.0,-4.9%,,,,,,,,226.8,236.7,13.0,13.6,12.6,-0.7,-0.1,0.0,0,-10.8,9.2,231.8
