Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,O-C,H-L,%CVol,Bid,Ask,Implied Volatility,Ask Implied Volatility,Bid Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Mid Price
01-Feb-2024,132.3,+6.9,+5.5%,136.1,119.4,136.1,"1,906",3.8,16.7,"+1,232.9%",129.3,135.6,13.7,13.7,13.0,-0.5,-0.5,0.0,"8,535",-5.5,8.7,132.5
31-Jan-2024,125.4,+10.2,+8.9%,120.5,120.5,123.4,143,4.9,2.9,"+3,475.0%",122.9,128.3,13.4,13.7,13.0,-0.5,-0.5,0.0,"8,410",-5.4,8.8,125.6
30-Jan-2024,115.2,-11.6,-9.1%,122.5,116.9,122.5,4,7.3,5.6,-96.7%,113.0,117.7,13.0,,,-0.5,-0.4,0.0,"8,397",-5.7,8.9,115.4
29-Jan-2024,126.8,-2.4,-1.9%,127.7,127.7,128.8,122,0.9,1.1,-95.9%,125.1,127.7,13.0,13.0,12.7,-0.5,-0.4,0.0,"8,395",-5.7,8.9,126.4
26-Jan-2024,129.2,-27.4,-17.5%,,,,,,,,127.2,132.0,12.9,13.2,12.7,-0.5,-0.4,0.0,"8,350",-5.9,9.1,129.6
25-Jan-2024,156.6,-9.8,-5.9%,,,,,,,,154.6,159.0,12.4,,,-0.6,-0.3,0.0,"8,350",-7.2,8.8,156.8
24-Jan-2024,166.4,-68.8,-29.3%,,,,,,,,163.6,170.1,12.4,12.7,12.0,-0.6,-0.3,0.0,"8,350",-7.2,8.8,166.9
23-Jan-2024,235.2,+10.3,+4.6%,,,,,,,,231.9,237.6,12.6,13.1,12.3,-0.7,-0.2,0.0,"8,350",-8.5,7.8,234.8
22-Jan-2024,224.9,-30.2,-11.8%,,,,,,,,220.8,228.8,12.5,13.1,12.0,-0.7,-0.2,0.0,"8,350",-8.5,7.9,224.8
19-Jan-2024,255.1,+3.6,+1.4%,,,,,,,,243.7,268.7,13.4,15.1,11.7,-0.7,-0.2,0.0,"8,350",-8.9,7.9,256.2
18-Jan-2024,251.5,-42.3,-14.4%,,,,,,,,247.0,257.0,13.4,13.9,12.5,-0.7,-0.2,0.0,"8,350",-9.0,8.0,252.0
17-Jan-2024,293.8,+36.4,+14.1%,,,,"3,000",,,-48.3%,288.3,300.0,13.9,14.7,12.9,-0.8,-0.1,0.0,"8,350",-9.5,6.4,294.2
16-Jan-2024,257.4,+10.4,+4.2%,,,,,,,,253.8,260.4,13.5,13.6,12.6,-0.7,-0.2,0.0,"5,803",-9.2,8.1,257.1
15-Jan-2024,247.0,+15.0,+6.5%,,,,"5,802",,,"+580,100.0%",240.9,252.5,12.8,13.6,12.1,-0.7,-0.2,0.0,"5,803",-9.3,8.2,246.7
12-Jan-2024,232.0,-28.0,-10.8%,,,,,,,,227.1,236.6,13.2,13.4,12.3,-0.7,-0.2,0.0,1,-9.0,8.2,231.9
11-Jan-2024,260.0,+22.1,+9.3%,,,,,,,,254.2,267.7,13.4,14.3,12.6,-0.7,-0.2,0.0,1,-9.6,8.3,261.0
10-Jan-2024,237.9,-1.9,-0.8%,,,,,,,,229.4,252.1,12.9,14.6,11.9,-0.7,-0.2,0.0,1,-9.4,8.3,240.8
