Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,O-C,H-L,%CVol,Bid,Ask,Implied Volatility,Ask Implied Volatility,Bid Implied Volatility,Delta,Theta,Gamma,Open Interest,Rho,Vega,Mid Price
01-Feb-2024,109.1,+5.9,+5.7%,107.0,98.0,107.9,"1,374",2.1,9.9,+116.4%,107.4,110.8,13.9,13.8,13.4,-0.5,-0.5,0.0,"2,400",-4.8,8.5,109.1
31-Jan-2024,103.2,+9.2,+9.8%,,,,635,,,+568.4%,100.9,105.5,13.8,14.0,13.4,-0.4,-0.5,0.0,"1,343",-4.7,8.5,103.2
30-Jan-2024,94.0,-9.4,-9.1%,94.6,94.6,96.6,95,0.6,2.0,+227.6%,93.2,95.2,13.2,,,-0.5,-0.5,0.0,953,-4.9,8.7,94.2
29-Jan-2024,103.4,-2.2,-2.1%,107.6,104.7,107.6,29,4.2,2.9,-94.8%,102.2,105.3,13.2,13.3,13.0,-0.5,-0.5,0.0,898,-4.9,8.7,103.8
26-Jan-2024,105.6,-23.1,-17.9%,111.0,108.4,111.0,563,5.4,2.6,+181.5%,103.9,107.9,13.1,13.3,12.9,-0.5,-0.4,0.0,873,-5.1,8.8,105.9
25-Jan-2024,128.7,-8.0,-5.9%,,,,,,,,127.0,130.6,12.5,,,-0.6,-0.3,0.0,589,-6.3,8.5,128.8
24-Jan-2024,136.7,-61.2,-30.9%,,,,,,,,134.5,137.7,12.5,12.5,12.1,-0.6,-0.3,0.0,589,-6.3,8.5,136.1
23-Jan-2024,197.9,+9.0,+4.8%,,,,,,,,194.3,201.8,12.4,13.1,12.1,-0.7,-0.2,0.0,589,-7.8,7.6,198.1
22-Jan-2024,188.9,-28.4,-13.1%,,,,,,,,185.6,192.6,12.4,13.0,12.1,-0.7,-0.2,0.0,589,-7.7,7.6,189.1
19-Jan-2024,217.3,+3.0,+1.4%,,,,,,,,209.1,223.9,13.2,14.0,12.1,-0.7,-0.2,0.0,589,-8.3,7.8,216.5
18-Jan-2024,214.3,-39.5,-15.6%,,,,,,,,210.4,219.3,13.2,13.6,12.5,-0.7,-0.2,0.0,589,-8.3,7.8,214.9
17-Jan-2024,253.8,+34.0,+15.5%,,,,,,,,247.6,260.9,13.7,14.5,12.8,-0.7,-0.2,0.0,589,-8.9,7.9,254.3
16-Jan-2024,219.8,+9.5,+4.5%,,,,200,,,+900.0%,216.6,222.3,13.2,13.3,12.6,-0.7,-0.2,0.0,589,-8.5,7.9,219.5
15-Jan-2024,210.3,+13.6,+6.9%,,,,,,,,204.9,215.2,12.7,13.4,12.2,-0.7,-0.2,0.0,389,-8.6,8.0,210.1
12-Jan-2024,196.7,-25.9,-11.6%,,,,,,,,192.9,200.9,13.2,13.4,12.4,-0.6,-0.3,0.0,389,-8.3,9.3,196.9
11-Jan-2024,222.6,+20.2,+10.0%,,,,,,,,217.6,229.7,13.2,14.0,12.5,-0.7,-0.2,0.0,389,-8.9,8.1,223.7
10-Jan-2024,202.4,-2.3,-1.1%,,,,,,,,195.6,209.1,12.9,13.8,12.1,-0.7,-0.2,0.0,389,-8.6,8.0,202.4
09-Jan-2024,204.7,+7.0,+3.5%,,,,,,,,201.5,209.3,12.9,13.6,12.6,-0.7,-0.2,0.0,389,-8.7,8.1,205.4
08-Jan-2024,197.7,-16.1,-7.5%,,,,,,,,196.0,199.3,13.4,13.5,13.2,-0.6,-0.3,0.0,389,-8.5,9.4,197.7
05-Jan-2024,213.8,+6.6,+3.2%,,,,,,,,206.6,221.0,13.7,14.4,12.8,-0.7,-0.2,0.0,389,-9.0,8.2,213.8
04-Jan-2024,207.2,-23.4,-10.1%,,,,,,,,203.6,210.9,13.6,14.1,13.4,-0.6,-0.3,0.0,389,-8.9,9.6,207.3
03-Jan-2024,230.6,+43.3,+23.1%,,,,,,,,227.7,232.5,14.4,14.4,13.8,-0.7,-0.2,0.0,389,-9.2,8.2,230.1
02-Jan-2024,187.3,+2.2,+1.2%,,,,,,,,183.2,190.7,13.8,14.0,13.2,-0.6,-0.3,0.0,389,-8.4,9.6,187.0
29-Dec-2023,185.1,+1.7,+0.9%,,,,,,,,181.1,190.3,14.0,14.3,13.4,-0.6,-0.3,0.0,389,-8.5,9.7,185.7
28-Dec-2023,183.4,+8.2,+4.7%,,,,,,,,180.8,186.5,13.4,13.7,13.2,-0.6,-0.3,0.0,389,-8.7,9.8,183.7
27-Dec-2023,175.2,-8.9,-4.8%,,,,,,,,169.0,180.8,13.4,14.0,12.8,-0.6,-0.3,0.0,389,-8.6,9.8,174.9
22-Dec-2023,184.1,+0.2,+0.1%,,,,,,,,181.0,188.1,13.8,14.2,13.5,-0.6,-0.3,0.0,389,-9.0,10.0,184.6
21-Dec-2023,183.9,+9.8,+5.6%,,,,,,,,181.5,187.1,13.9,14.2,13.6,-0.6,-0.3,0.0,389,-9.0,10.0,184.3
20-Dec-2023,174.1,+1.6,+0.9%,,,,,,,,172.7,175.3,13.4,13.8,13.5,-0.6,-0.3,0.0,389,-8.9,10.0,174.0
19-Dec-2023,172.5,-9.6,-5.3%,175.3,175.3,175.3,20,2.8,0.0,-85.7%,168.7,176.7,13.4,13.9,13.1,-0.6,-0.3,0.0,389,-8.9,10.1,172.7
18-Dec-2023,182.1,+17.7,+10.8%,,,,,,,,179.6,186.5,13.5,13.9,13.2,-0.6,-0.3,0.0,389,-9.2,10.2,183.1
15-Dec-2023,164.4,-5.0,-3.0%,159.7,156.5,163.4,140,4.7,6.9,+250.0%,161.0,166.0,13.3,13.7,13.3,-0.5,-0.3,0.0,389,-8.9,10.2,163.5
